"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"arudbn","hungary_cs","Abigél (regény)","Q480270","cs","hungary","2","Vše špatné se rázem může proměnit v dobré.","Everything bad can suddenly turn into good."
"putuvx","hungary_cs","Abigél (regény)","Q480270","cs","hungary","3","Po každém dešti jednou vyjde slunce.","After every rain, the sun will eventually shine."
"pydtil","hungary_de","Abigél (regény)","Q480270","de","hungary","1","Manchmal sind Dinge anders, als sie auf den ersten Blick erscheinen.","Sometimes things are different than they appear at first glance."
"bkjcny","hungary_de","Abigél (regény)","Q480270","de","hungary","2","Menschen sind vielfältiger, als man oberflächlich sehen kann, also urteile nicht, bevor du sie richtig kennenlernst.","People are more diverse than one can see on the surface, so don't judge before you really get to know them."
"rdytml","hungary_de","Abigél (regény)","Q480270","de","hungary","3","Wer bereit ist, über die eigenen Befindlichkeiten hinauszusehen, erkennt die wahre Natur der Dinge.","""Those who are willing to look beyond their own sensitivities recognize the true nature of things."""
"iymgyi","hungary_en","Abigél (regény)","Q480270","en","hungary","1","Having things easy is not more important than being safe.","Having things easy is not more important than being safe."
"mdmvbq","hungary_en","Abigél (regény)","Q480270","en","hungary","2","We can sometimes take our blessings for granted.","We can sometimes take our blessings for granted."
"ngtjcn","hungary_en","Abigél (regény)","Q480270","en","hungary","3","The person who pushes us the most and seems cruel is our biggest hero.","The person who pushes us the most and seems cruel is our biggest hero."
"kcmcrc","hungary_fr","Abigél (regény)","Q480270","fr","hungary","1","Les apparences peuvent être trompeuses.","Appearances can be deceiving."
"grynud","hungary_fr","Abigél (regény)","Q480270","fr","hungary","2","Il ne faut pas toujours se fier à sa première impression.","You should not always trust your first impression."
"wttseo","hungary_fr","Abigél (regény)","Q480270","fr","hungary","3","On peut assumer des choix difficiles quand on en explique les raisons profondes.","One can make difficult choices when the deep reasons behind them are explained."
"skzfzj","hungary_he","Abigél (regény)","Q480270","he","hungary","1","קשיים ואתגרים בחיים גורמים לו להשתנות ולגדול.","""Difficulties and challenges in life cause him to change and grow."""
"vlfkfw","hungary_he","Abigél (regény)","Q480270","he","hungary","2","לעיתים האדם שאתה דוחה הוא זה שיציל אותך.","""Sometimes the person you reject is the one who will save you."""
"ueczyr","hungary_he","Abigél (regény)","Q480270","he","hungary","3","שפיטה של אנשים אחרים יכולה להתברר כטעות גדולה.","""Judging other people can turn out to be a big mistake."""
"vuyatr","hungary_hu","Abigél (regény)","Q480270","hu","hungary","1","Néha olyan helyről kapunk segítséget, ahonnan nem is gondolnánk.","""Sometimes we receive help from a place we wouldn't even think of."""
"dahpny","hungary_hu","Abigél (regény)","Q480270","hu","hungary","2","Érdemes mindenkivel jó kapcsolatot ápolni, mert nem lehet tudni, mit hoz az élet.","It's worth maintaining good relationships with everyone because you never know what life will bring."
"eeiuhv","hungary_hu","Abigél (regény)","Q480270","hu","hungary","3","Soha ne ítélj meg egy könyvet a borítójáról.","""Never judge a book by its cover."""
"prvvuc","hungary_it","Abigél (regény)","Q480270","it","hungary","1","Le apparenze ingannano.","Appearances can be deceiving."
"jkaojv","hungary_it","Abigél (regény)","Q480270","it","hungary","2","Accettare regole e un destino che non comprendiamo a volte si rivela salvifico.","Accepting rules and a destiny that we do not understand sometimes proves to be salvific."
"abldff","hungary_it","Abigél (regény)","Q480270","it","hungary","3","Le difficoltà fanno crescere e maturare.","""Difficulties help you grow and mature."""
"lkjfrx","hungary_jp","Abigél (regény)","Q480270","jp","hungary","1","一見すると悪影響を及ぼすものが、実は自身を助けることがある。","At first glance, something that seems to have a negative impact can actually help you."
"bhmkkr","hungary_jp","Abigél (regény)","Q480270","jp","hungary","2","人は厳しい環境や境遇にさらされることによって成熟していく。","People mature by being exposed to harsh environments and circumstances."
"dyucnz","hungary_jp","Abigél (regény)","Q480270","jp","hungary","3","理不尽な出来事も最終的には幸いとなる。","Even unreasonable events ultimately turn out to be fortunate."
"jojurk","hungary_ko","Abigél (regény)","Q480270","ko","hungary","1","나쁘다고 생각하는 상황도 다 이유가 있다.","""There is a reason for situations that are considered bad."""
"bndtxt","hungary_ko","Abigél (regény)","Q480270","ko","hungary","2","더 큰 목적을 위해 일시적인 고통을 견디는 것은 가치가 있을 수 있다.","Enduring temporary pain for a greater purpose can be worthwhile."
"xqarhw","hungary_ko","Abigél (regény)","Q480270","ko","hungary","3","어제의 적이 오늘의 동료가 될 수 있다.","""Yesterday's enemy can become today's ally."""
"odepgv","hungary_nl","Abigél (regény)","Q480270","nl","hungary","1","Geluk zit in kleine dingen.","Happiness is in small things."
"ansnso","hungary_nl","Abigél (regény)","Q480270","nl","hungary","2","De waarheid is vaak anders dan je denkt.","The truth is often different than you think."
"eleoof","hungary_nl","Abigél (regény)","Q480270","nl","hungary","3","Oordeel niet te snel over mensen.","Do not judge people too quickly."
"goigvp","hungary_pl","Abigél (regény)","Q480270","pl","hungary","1","Prawdziwą wartość ludzi odkrywamy w najbardziej tragicznych warunkach.","""We discover the true value of people in the most tragic circumstances."""
"svtpjt","hungary_pl","Abigél (regény)","Q480270","pl","hungary","2","Czas sprawia, że ludzie się przyzwyczajają do rzeczywistości.","Time makes people get used to reality."
"etkazd","hungary_pl","Abigél (regény)","Q480270","pl","hungary","3","Dobroć można znaleźć wszędzie, nawet w pozornie najtrudniejszych sytuacjach.","Kindness can be found everywhere, even in seemingly the most difficult situations."
"lorypm","hungary_pt","Abigél (regény)","Q480270","pt","hungary","1","A verdade é limitada pela nossa visão restrita.","The truth is limited by our restricted vision."
"jocodn","hungary_pt","Abigél (regény)","Q480270","pt","hungary","2","A vida vale mais que o orgulho.","Life is worth more than pride."
"pzqbqm","hungary_pt","Abigél (regény)","Q480270","pt","hungary","3","Muitas vezes, coisas que parecem ruins se tornam positivas ao vermos com um novo olhar e compreensão.","Often, things that seem bad become positive when we see them with a new perspective and understanding."
"zgizwa","hungary_sv","Abigél (regény)","Q480270","sv","hungary","1","Första intrycket är inte alltid rätt.","The first impression is not always right."
"qugdwu","hungary_sv","Abigél (regény)","Q480270","sv","hungary","2","Saker och ting är inte alltid vad de först verkar vara.","Things are not always what they first appear to be."
"vhmjbj","hungary_sv","Abigél (regény)","Q480270","sv","hungary","3","Ungdomens sorglöshet förvandlas till mognad när verkligheten knackar på dörren.","The carefreeness of youth transforms into maturity when reality knocks on the door."
"bybhxl","israel_ar","רצח בדרך בית לחם","Q5708155","ar","israel","1","الثقة العمياء نتائجها وخيمة.","""Blind trust has dire consequences."""
"dzipiz","israel_ar","רצח בדרך בית לחם","Q5708155","ar","israel","2","الدخول في بيئة الصراعات العرقية والدينية غير مأمون العواقب ويؤدي غالبًا إلى الهلاك أو التشوه النفسي والبدني وفقدان الشخصية الإنسانية السوية.","""Entering an environment of ethnic and religious conflicts is fraught with uncertain consequences and often leads to destruction or psychological and physical distortion and the loss of a healthy human personality."""
"lcjqew","israel_ar","רצח בדרך בית לחם","Q5708155","ar","israel","3","ليس كل شيء كما يبدو.","""Not everything is as it seems."""
"wpvtua","israel_cs","רצח בדרך בית לחם","Q5708155","cs","israel","1","Odhalování hrůzných skutků minulosti může přinést smrt tobě i lidem ve tvém okolí.","Uncovering the horrific deeds of the past can bring death to you and those around you."
"yhlagm","israel_cs","רצח בדרך בית לחם","Q5708155","cs","israel","2","Nestrkej nos tam, kam nemáš.","Don't stick your nose where it doesn't belong."
"glvjmm","israel_cs","רצח בדרך בית לחם","Q5708155","cs","israel","3","Jedno zlo je obvykle symptomem komplexního a dlouhodobého problému v celé společnosti.","One evil is usually a symptom of a complex and long-term problem in the whole society."
"ppewfp","israel_de","רצח בדרך בית לחם","Q5708155","de","israel","1","Ethnische Konflikte sind herausfordernd und können unerwartet Feindschaften hervorrufen, die lebensbedrohlich sind.","Ethnic conflicts are challenging and can unexpectedly provoke hostilities that are life-threatening."
"vrfcgf","israel_de","רצח בדרך בית לחם","Q5708155","de","israel","2","Man sollte seine Nase nicht in Sachen stecken, die einen nichts angehen.","One should not stick their nose into things that do not concern them."
"hluahi","israel_de","רצח בדרך בית לחם","Q5708155","de","israel","3","Nur ganzheitliche Wahrnehmung verschafft Klarheit.","Only holistic perception provides clarity."
"tjhcut","israel_en","רצח בדרך בית לחם","Q5708155","en","israel","1","You never know what a person is made of; everyone is a personal secret all their own.","You never know what a person is made of; everyone is a personal secret all their own."
"pjpvra","israel_en","רצח בדרך בית לחם","Q5708155","en","israel","2","Digging deep into controversy leads to retaliation.","Digging deep into controversy leads to retaliation."
"hpstfx","israel_en","רצח בדרך בית לחם","Q5708155","en","israel","3","All darkness is brought into the light with truth and justice.","All darkness is brought into the light with truth and justice."
"kdoosy","israel_fr","רצח בדרך בית לחם","Q5708155","fr","israel","1","Garder une obsession pour le passé ne peut que le faire ressurgir de façon impitoyable.","Maintaining an obsession with the past can only make it resurface mercilessly."
"dbsbvt","israel_fr","רצח בדרך בית לחם","Q5708155","fr","israel","2","Une vie apparemment simple peut cacher des mystères insoupçonnés.","An apparently simple life can hide unsuspected mysteries."
"ejcvww","israel_fr","רצח בדרך בית לחם","Q5708155","fr","israel","3","Le passé nous poursuit partout, et les échos des tragédies et secrets collectifs résonnent même dans les destins individuels.","The past follows us everywhere, and the echoes of collective tragedies and secrets resonate even in individual destinies."
"xshxzh","israel_he","רצח בדרך בית לחם","Q5708155","he","israel","1","חיטוט בפצעי העבר עלול להוביל להשלכות שליליות בהווה.","""Picking at the wounds of the past may lead to negative consequences in the present."""
"exvnkm","israel_he","רצח בדרך בית לחם","Q5708155","he","israel","2","פרשות עבר יכולות להמשיך להשפיע על החברה באופן עקיף.","""Past incidents can continue to affect the company indirectly."""
"zozayu","israel_he","רצח בדרך בית לחם","Q5708155","he","israel","3","אף אחד לא יכול להסתתר מעיני אלוהים.","No one can hide from the eyes of God."
"sswbeg","israel_hu","רצח בדרך בית לחם","Q5708155","hu","israel","1","Vannak dolgok, amire jobb nem rájönni, mert veszélybe sodorhatjuk magunkat.","There are things it's better not to find out about, because we might put ourselves in danger."
"onwdzm","israel_hu","רצח בדרך בית לחם","Q5708155","hu","israel","2","A megszállott kíváncsiság veszélyes következményeket von maga után.","""Obsessive curiosity leads to dangerous consequences."""
"eospbv","israel_hu","רצח בדרך בית לחם","Q5708155","hu","israel","3","Vannak csoportok, amelyek akadályozzák a világ és társadalmai egészséges fejlődését és a konfliktusok csökkentését azáltal, hogy nem engedik túllépni bizonyos sebeket.","There are groups that hinder the healthy development of the world and its societies and the reduction of conflicts by not allowing certain wounds to be overcome."
"sspwfy","israel_it","רצח בדרך בית לחם","Q5708155","it","israel","1","Le persone sono più complesse di come appaiono a un primo sguardo.","People are more complex than they appear at first glance."
"tdazip","israel_it","רצח בדרך בית לחם","Q5708155","it","israel","2","Non bisogna fermarsi mai alle prime conclusioni.","""One should never stop at the first conclusions."""
"hgbzoc","israel_it","רצח בדרך בית לחם","Q5708155","it","israel","3","Le persone di gran cuore che tentano di fare cose buone per l’umanità vengono messe a tacere nell’interesse di pochi.","Big-hearted people who try to do good things for humanity are silenced in the interest of a few."
"ygwcis","israel_jp","רצח בדרך בית לחם","Q5708155","jp","israel","1","裏には裏がある。","There is more than meets the eye."
"plzyay","israel_jp","רצח בדרך בית לחם","Q5708155","jp","israel","2","隠された真実を明らかにすることには時にリスクが伴う。","Revealing hidden truths sometimes involves risks."
"rymiym","israel_jp","רצח בדרך בית לחם","Q5708155","jp","israel","3","人は周りの出来事の裏にある本当の理由を知ることが大切だ。","It is important for people to know the true reasons behind the events around them."
"yaskpl","israel_ko","רצח בדרך בית לחם","Q5708155","ko","israel","1","자신의 신념에 충실하면 어떤 형태로든 유산을 남기게 되고, 진실은 결국 드러나게 된다.","If you stay true to your beliefs, you will leave a legacy in some form, and the truth will eventually be revealed."
"pygbtv","israel_ko","רצח בדרך בית לחם","Q5708155","ko","israel","2","사람들은 다른 사람들에게 인정받고 싶어 한다.","""People want to be recognized by others."""
"igphns","israel_ko","רצח בדרך בית לחם","Q5708155","ko","israel","3","작은 것으로 전체를 판단해서는 안 된다.","""One should not judge the whole by a small part."""
"trxndw","israel_nl","רצח בדרך בית לחם","Q5708155","nl","israel","1","De waarheid komt altijd aan het licht.","The truth always comes to light."
"mooauv","israel_nl","רצח בדרך בית לחם","Q5708155","nl","israel","2","Achter schoonheid kan een diepe laag van complexiteit zitten.","""Behind beauty can lie a deep layer of complexity."""
"rgfgmd","israel_nl","רצח בדרך בית לחם","Q5708155","nl","israel","3","Hoe diep je iets ook probeert te verstoppen, de waarheid komt altijd boven water.","No matter how deeply you try to hide something, the truth always comes to light."
"nrkdgh","israel_pl","רצח בדרך בית לחם","Q5708155","pl","israel","1","Ciekawość wobec innych i wobec historii czasami przynosi niezasłużoną karę.","Curiosity about others and about history sometimes brings undeserved punishment."
"szkskj","israel_pl","רצח בדרך בית לחם","Q5708155","pl","israel","2","Przeszłość jest kluczem do rozwiązania tajemnicy teraźniejszości.","""The past is the key to solving the mystery of the present."""
"hylpua","israel_pl","רצח בדרך בית לחם","Q5708155","pl","israel","3","Spiskowanie za czyimiś plecami może prowadzić do ślepego zaułka.","Conspiring behind someone's back can lead to a dead end."
"muyjex","israel_pt","רצח בדרך בית לחם","Q5708155","pt","israel","1","Revolução e mudança trazem consigo perigos.","""Revolution and change bring with them dangers."""
"ldmqes","israel_pt","רצח בדרך בית לחם","Q5708155","pt","israel","2","Não se pode confiar em ninguém, nem mesmo na família.","You can't trust anyone, not even family."
"hbvbvg","israel_pt","רצח בדרך בית לחם","Q5708155","pt","israel","3","A busca pela moral é perigosa, mas é essencial se quisermos justiça.","The pursuit of morality is dangerous, but it is essential if we want justice."
"mkxzel","israel_sv","רצח בדרך בית לחם","Q5708155","sv","israel","1","Onda gärningar i ens förflutna har en tendens att komma ikapp en.","Evil deeds in one's past tend to catch up with one."
"tthfft","israel_sv","רצח בדרך בית לחם","Q5708155","sv","israel","2","Fördomar och gamla konflikter döljer ofta det verkliga brottet.","""Prejudices and old conflicts often hide the real crime."""
"hukdpm","israel_sv","רצח בדרך בית לחם","Q5708155","sv","israel","3","Det som göms i snö kommer upp i tö.","What is hidden in snow comes forth in the thaw."
"rradyp","italy_ar","La donna dei fiori di carta","Q3822099","ar","italy","1","المصير ليس سوى مجموعة متشابكة من القرارات.","""Destiny is nothing but a tangled set of decisions."""
"tlrqrz","italy_ar","La donna dei fiori di carta","Q3822099","ar","italy","2","الأمور قد تحدث بمحض الصدفة والحظ سواء كانت جيدة أم سيئة.","Things may happen by pure chance and luck, whether they are good or bad."
"fghnzr","italy_ar","La donna dei fiori di carta","Q3822099","ar","italy","3","قد يتلاشى القدر والأمل، لكن الذكريات تبقى هي الإرث.","""Fate and hope may fade, but memories remain the legacy."""
"qsbjkf","italy_cs","La donna dei fiori di carta","Q3822099","cs","italy","1","Láska je silnější než smrt.","Love is stronger than death."
"qwcwpi","italy_cs","La donna dei fiori di carta","Q3822099","cs","italy","2","Osudu neporučíš.","You can't command fate."
"biksja","italy_cs","La donna dei fiori di carta","Q3822099","cs","italy","3","Štěstí a láska na nikoho nepočkají.","""Happiness and love wait for no one."""
"dltwhw","italy_de","La donna dei fiori di carta","Q3822099","de","italy","1","Lebenswege können unerwartete Wendungen nehmen.","""Life paths can take unexpected turns."""
"hoeppp","italy_de","La donna dei fiori di carta","Q3822099","de","italy","2","Da man nicht wissen kann, wie lange man noch zu leben hat, sollte man intensiv und mit voller Hingabe lieben.","Since one cannot know how long one has left to live, one should love intensely and with full devotion."
"pwkmvp","italy_de","La donna dei fiori di carta","Q3822099","de","italy","3","Das Glück ergibt sich oft aus einer Mischung aus Zufall und Schicksal.","Happiness often results from a mixture of chance and fate."
"etwtfl","italy_en","La donna dei fiori di carta","Q3822099","en","italy","1","If you love something, set it free; if it is meant to be, it will return.","If you love something, set it free; if it is meant to be, it will return."
"vkmydk","italy_en","La donna dei fiori di carta","Q3822099","en","italy","2","Your enemy has a story and people they love.","Your enemy has a story and people they love."
"lqaidy","italy_en","La donna dei fiori di carta","Q3822099","en","italy","3","Love never dies.","Love never dies."
"tnsxsj","italy_fr","La donna dei fiori di carta","Q3822099","fr","italy","1","Pour créer un lien de confiance avec quelqu'un, il faut l'écouter et lui offrir la possibilité de s'exprimer.","To build a bond of trust with someone, you need to listen to them and give them the opportunity to express themselves."
"gvcops","italy_fr","La donna dei fiori di carta","Q3822099","fr","italy","2","La vie est pleine de périls, et il faut parfois laisser partir ceux que l'on aime pour leur bonheur.","Life is full of perils, and sometimes you have to let go of those you love for their happiness."
"bujrvy","italy_fr","La donna dei fiori di carta","Q3822099","fr","italy","3","Le mensonge est parfois nécessaire afin de ne pas faire souffrir les autres.","Lying is sometimes necessary in order not to make others suffer."
"mwvdzf","italy_he","La donna dei fiori di carta","Q3822099","he","italy","1","אף פעם לא לאבד תקווה.","Never lose hope."
"cuijhd","italy_he","La donna dei fiori di carta","Q3822099","he","italy","2","אם אישה רוצה משפחה ולא נותנים לה את זה, היא במוקדם או במאוחר תעזוב.","""If a woman wants a family and is not given that, sooner or later she will leave."""
"zbahvo","italy_he","La donna dei fiori di carta","Q3822099","he","italy","3","מי שמהסס מפספס.","""He who hesitates misses out."""
"ncelqv","italy_hu","La donna dei fiori di carta","Q3822099","hu","italy","1","Az igazságot sohasem késő elmondani.","It is never too late to tell the truth."
"cznxft","italy_hu","La donna dei fiori di carta","Q3822099","hu","italy","2","Az élet kiszámíthatatlan, nem tudjuk meghatározni a sorsunkat.","Life is unpredictable, we cannot determine our destiny."
"mltcdt","italy_hu","La donna dei fiori di carta","Q3822099","hu","italy","3","Ha úgy érezzük, hogy akit szeretünk, annak mással jobb lenne, akkor jobb elengedni, mert jobb sors várhat rá.","""If we feel that the person we love would be better off with someone else, it's better to let go, because a better fate may await them."""
"fshyff","italy_it","La donna dei fiori di carta","Q3822099","it","italy","1","Godersi la vita ogni giorno, cercando le cose belle e accettando le disgrazie della vita.","Enjoy life every day, seeking beautiful things and accepting life's misfortunes."
"kwitqk","italy_it","La donna dei fiori di carta","Q3822099","it","italy","2","Le occasioni della vita si devono cogliere quando si presentano.","Opportunities in life must be seized when they arise."
"nkqgvt","italy_it","La donna dei fiori di carta","Q3822099","it","italy","3","Ogni incontro definisce il significato della propria vita.","""Every encounter defines the meaning of one's life."""
"plqlsw","italy_jp","La donna dei fiori di carta","Q3822099","jp","italy","1","物事が思うように進まないことがある。","There are times when things don't go as planned."
"xtipls","italy_jp","La donna dei fiori di carta","Q3822099","jp","italy","2","",""
"gkdboy","italy_jp","La donna dei fiori di carta","Q3822099","jp","italy","3","",""
"cuctup","italy_ko","La donna dei fiori di carta","Q3822099","ko","italy","1","인생은 타이밍이다.","Life is all about timing."
"ndyyyx","italy_ko","La donna dei fiori di carta","Q3822099","ko","italy","2","삶은 시작되고, 지속되며, 끝난다.","""Life begins, continues, and ends."""
"rqmddh","italy_ko","La donna dei fiori di carta","Q3822099","ko","italy","3","인생은 어떻게 될지 모르니 그때그때 후회 없는 선택을 해야 한다.","You never know how life will turn out, so you must make choices you won't regret at each moment."
"xoxcka","italy_nl","La donna dei fiori di carta","Q3822099","nl","italy","1","Het leven loopt nooit zoals je het verwacht.","Life never goes as you expect."
"vvdmno","italy_nl","La donna dei fiori di carta","Q3822099","nl","italy","2","Iedereen heeft een verleden en een verhaal te vertellen, ongeacht afkomst.","Everyone has a past and a story to tell, regardless of origin."
"zntcmk","italy_nl","La donna dei fiori di carta","Q3822099","nl","italy","3","Aan je lot is geen ontkomen.","""There is no escaping your fate."""
"xlxncd","italy_pl","La donna dei fiori di carta","Q3822099","pl","italy","1","Nawet ci, którzy stają na naszej drodze w konflikcie, mają historie warte naszego szacunku.","Even those who stand in our way in conflict have stories worthy of our respect."
"jwzvzt","italy_pl","La donna dei fiori di carta","Q3822099","pl","italy","2","Waiting can lead to missed opportunities and unpleasant consequences.","Czekanie może prowadzić do utraconych szans i nieprzyjemnych konsekwencji."
"luszyw","italy_pl","La donna dei fiori di carta","Q3822099","pl","italy","3","Życie jest zbyt nieprzewidywalne, aby je przewidzieć.","Life is too unpredictable to predict."
"fzawhs","italy_pt","La donna dei fiori di carta","Q3822099","pt","italy","1","As histórias podem levar longe.","Stories can take you far."
"zaytfb","italy_pt","La donna dei fiori di carta","Q3822099","pt","italy","2","Do ódio ao amor, uma luta perdida.","""From hate to love, a lost battle."""
"koqohe","italy_pt","La donna dei fiori di carta","Q3822099","pt","italy","3","Um bom contador de histórias é capaz de transmitir várias mensagens.","A good storyteller is capable of conveying multiple messages."
"tnhfzn","italy_sv","La donna dei fiori di carta","Q3822099","sv","italy","1","Kärlek kan ändra ditt liv om du vågar älska någon.","Love can change your life if you dare to love someone."
"tqdgas","italy_sv","La donna dei fiori di carta","Q3822099","sv","italy","2","Att lita på människors godhet kan göra att goda saker kommer din väg.","Trusting in people's goodness can bring good things your way."
"kjsvop","italy_sv","La donna dei fiori di carta","Q3822099","sv","italy","3","Att släppa taget om den man älskar kan vara den största akten av kärlek.","Letting go of the one you love can be the greatest act of love."
"fieodv","japan_ar","砂の女","Q6455599","ar","japan","1","القناعة والرضا قد يكونان سر الحرية والسعادة في بعض الأحيان.","""Contentment and satisfaction may sometimes be the secret to freedom and happiness."""
"jggxfq","japan_ar","砂の女","Q6455599","ar","japan","2","أحيانًا عناد القدر يؤدي إلى فقدان الحياة.","""Sometimes the stubbornness of fate leads to the loss of life."""
"sdezcp","japan_ar","砂の女","Q6455599","ar","japan","3","الهدف الأول ليس بالضرورة هدفك الأسمى.","""The first goal is not necessarily your ultimate goal."""
"zzzzfu","japan_cs","砂の女","Q6455599","cs","japan","1","Vytrvalost je klíčem k úspěchu.","Perseverance is the key to success."
"pncovk","japan_cs","砂の女","Q6455599","cs","japan","2","Je lepší litovat něčeho, co jste udělali, než litovat něčeho, co jste neudělali.","It's better to regret something you did than to regret something you didn't do."
"iilhib","japan_cs","砂の女","Q6455599","cs","japan","3","Čas vytváří hořeny a hojí rány.","Time creates wounds and heals them."
"eookup","japan_de","砂の女","Q6455599","de","japan","1","Flucht ist die einzige Möglichkeit, den Zuständen zu entkommen.","Escape is the only way to get away from the conditions."
"bheltq","japan_de","砂の女","Q6455599","de","japan","2","Vertrauen in fremde Menschen kann böse enden.","Trusting strangers can end badly."
"zmvbga","japan_de","砂の女","Q6455599","de","japan","3","Flucht ist gefährlich und kann zum Tod führen.","Flight is dangerous and can lead to death."
"fghhna","japan_en","砂の女","Q6455599","en","japan","1","Allegiance and solidarity are situational.","Allegiance and solidarity are situational."
"jlabzu","japan_en","砂の女","Q6455599","en","japan","2","Patience allows one to seize the right moment.","Patience allows one to seize the right moment."
"nkczxl","japan_en","砂の女","Q6455599","en","japan","3","One must be patient to achieve their goals.","One must be patient to achieve their goals."
"mnvgrm","japan_fr","砂の女","Q6455599","fr","japan","1","La gentillesse envers les étrangers apporte des récompenses inattendues.","Kindness towards strangers brings unexpected rewards."
"hrltew","japan_fr","砂の女","Q6455599","fr","japan","2","Les plus petits actes peuvent avoir les plus grandes conséquences.","The smallest acts can have the greatest consequences."
"ppqjdg","japan_fr","砂の女","Q6455599","fr","japan","3","Donner sa confiance au premier venu peut attirer des problèmes.","Trusting the first person who comes along can lead to problems."
"inpuds","japan_he","砂の女","Q6455599","he","japan","1","גם במקומות הגרועים והאפלים ביותר, ניתן למצוא נקודות אור, אושר וגורל משותף.","""Even in the worst and darkest places, points of light, happiness, and shared destiny can be found."""
"yextjy","japan_he","砂の女","Q6455599","he","japan","2","יחסים אישיים שנבנים לאורך זמן יכולים להסיר התנגדות גם מכפייה קשה ושלילת חופש.","""Personal relationships built over time can remove resistance even from severe coercion and deprivation of freedom."""
"wbezob","japan_he","砂の女","Q6455599","he","japan","3","הסביבה מצפה להתנהגות מסוימת של אדם ומתנהגת בהתאם ללא שיקול של שינוי התנהגות.","The environment expects a certain behavior from a person and behaves accordingly without considering a change in behavior."
"kjcmxv","japan_hu","砂の女","Q6455599","hu","japan","1","A jó dolgokból kialakulhat valami rossz, és a rosszból is valami jó.","Something bad can develop from good things, and something good can develop from bad things."
"chuseg","japan_hu","砂の女","Q6455599","hu","japan","2","A kitartás és akaraterő végül célhoz vezet, bármennyi időbe is telik.","Perseverance and willpower eventually lead to the goal, no matter how long it takes."
"latvwq","japan_hu","砂の女","Q6455599","hu","japan","3","Nem minden tanácsot kell megfogadni, mert rossz vége is lehet.","""Not all advice should be followed, as it can end badly."""
"sikdgz","japan_it","砂の女","Q6455599","it","japan","1","La casa di un uomo è dove si sente sicuro e a proprio agio, non dove si è forzati a stare.","A man's home is where he feels safe and comfortable, not where he is forced to stay."
"qnquem","japan_it","砂の女","Q6455599","it","japan","2","Le difficoltà affrontate creano un senso di comunità.","The difficulties faced create a sense of community."
"hsahrb","japan_it","砂の女","Q6455599","it","japan","3","Alla fine, ci si abitua anche alle cose che non piacciono, basta del tempo.","In the end, you get used to things you don't like as well, it just takes time."
"yyxoxl","japan_jp","砂の女","Q6455599","jp","japan","1","思いやりと寛大さは予期せぬ絆や救済を生むが、利己的で冷酷な行動は孤立や破滅を招く。","Compassion and generosity create unexpected bonds and relief, while selfish and ruthless actions lead to isolation and ruin."
"fdivbq","japan_jp","砂の女","Q6455599","jp","japan","2","他者から必要とされながら継続することで、生きがいへと変わっていく。","By continuing to be needed by others, it transforms into a sense of purpose."
"znoexz","japan_jp","砂の女","Q6455599","jp","japan","3","初対面の人を信用してはいけない。","""Do not trust people you meet for the first time."""
"hcxqxa","japan_ko","砂の女","Q6455599","ko","japan","1","사람들은 변화를 위한 힘이 도달할 수 없다고 느낄 때 현실을 받아들이고 그 생활 방식에 익숙해진다.","""When people feel that the power for change is out of reach, they accept reality and become accustomed to that way of life."""
"kpjrdv","japan_ko","砂の女","Q6455599","ko","japan","2","시간과 경험은 다르게 사는 사람들에 대한 공감을 느끼게 한다.","""Time and experience make us feel empathy for people who live differently."""
"jaxsdq","japan_ko","砂の女","Q6455599","ko","japan","3","욕심부리지 않고 가진 것에 감사하며 살아라.","""Live without greed and be thankful for what you have."""
"gutomm","japan_nl","砂の女","Q6455599","nl","japan","1","Berusting in je lot kweekt solidariteit en een geruisloze dood.","""Resignation to your fate breeds solidarity and a quiet death."""
"kloufy","japan_nl","砂の女","Q6455599","nl","japan","2","Je graaft je eigen graf als je tegen de ervaring en kennis van anderen ingaat.","You are digging your own grave if you go against the experience and knowledge of others."
"xlhbbk","japan_nl","砂の女","Q6455599","nl","japan","3","Je moet eerst werken voordat je kunt genieten van welvaart en welzijn.","You must work first before you can enjoy prosperity and well-being."
"yfzxea","japan_pl","砂の女","Q6455599","pl","japan","1","Nawyk daje przynależność do społeczeństwa.","Habit gives a sense of belonging to society."
"dbzkfp","japan_pl","砂の女","Q6455599","pl","japan","2","Życie zawsze pisze określony scenariusz.","Life always writes a specific script."
"dvvuxp","japan_pl","砂の女","Q6455599","pl","japan","3","Adaptacja jest tylko metodą, a nie celem samym w sobie.","Adaptation is only a method, not an end in itself."
"bitrpu","japan_pt","砂の女","Q6455599","pt","japan","1","A verdadeira prisão está na aceitação da rotina como destino.","""The true prison is in accepting routine as destiny."""
"xihnnz","japan_pt","砂の女","Q6455599","pt","japan","2","A adaptação forçada a uma realidade opressiva pode levar ao conformismo, fazendo com que a luta pela liberdade seja substituída pela aceitação do destino.","Forced adaptation to an oppressive reality can lead to conformity, causing the struggle for freedom to be replaced by acceptance of fate."
"fhquij","japan_pt","砂の女","Q6455599","pt","japan","3","Momentos difíceis nos tornam mais cooperativos e bondosos.","Difficult moments make us more cooperative and kind."
"cxhlul","japan_sv","砂の女","Q6455599","sv","japan","1","Att acceptera sitt öde kan göra andra ledsna.","Accepting one's fate can make others sad."
